NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,EngineCylinders,Trim,Doors,VIN,SellingPrice,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription
USED,2021,Jeep,Grand Cherokee,WKJH74,Bright White Clearcoat,6,Laredo X 4x4,4,1C4RJFAG5MC537812,36988,38678,FALSE,18,25,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2021,Dodge,Durango,WDEH75,Billet Metallic Clearcoat,6,GT AWD,4,1C4RDJDG9MC579339,40555,11588,FALSE,18,25,Gasoline,All Wheel Drive,8-Speed Automatic
USED,2021,Ram,1500,DT6H98,Bright White Clearcoat,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,1C6SRFFT9MN693945,46988,27089,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2022,Ram,2500,DJ7H91,Granite Crystal Metallic Clearcoat,8,"Big Horn 4x4 Crew Cab 6'4"" Box",4,3C6UR5DL2NG129117,68050,270,FALSE,0,0,Diesel,Four Wheel Drive,6-Speed Automatic
NEW,2022,Jeep,Grand Wagoneer,WSJR75,Baltic Gray Metallic Clearcoat,8,Series I 4x4,4,1C4SJVEJ5NS110364,92825,2863,FALSE,13,18,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2022,Jeep,Grand Wagoneer,WSJS75,Diamond Black Crystal Pearlcoat,8,Series II 4x4,4,1C4SJVFJ3NS142132,103625,4699,FALSE,13,18,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2022,Ram,1500,DT6H98,Granite Crystal Metallic Clearcoat,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,1C6RRFFG2NN220357,55480,77,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2022,Jeep,Cherokee,KLJH74,Granite Crystal Metallic Clearcoat,6,Trailhawk 4x4,4,1C4PJMBX0ND518025,42780,4000,FALSE,18,24,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Jeep,Gladiator,JTJP98,Black Clearcoat,6,High Altitude 4x4,4,1C6HJTFG8NL180525,58800,53,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2022,Jeep,Cherokee,KLJP74,Sting-Gray Clearcoat,6,Limited 4x4,4,1C4PJMDX5ND542933,41285,4,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Jeep,Cherokee,KLJP74,Granite Crystal Metallic Clearcoat,6,Limited 4x4,4,1C4PJMDXXND542930,41285,4112,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Dodge,Challenger,LADR22,White Knuckle Clearcoat,8,SRT Hellcat RWD,2,2C3CDZC95NH205577,77415,19,FALSE,13,22,Gasoline,Rear Wheel Drive,8-Speed Automatic
NEW,2022,Jeep,Cherokee,KLJP74,Bright White Clearcoat,6,Limited 4x4,4,1C4PJMDX8ND544577,43580,5,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Jeep,Cherokee,KLJP74,Diamond Black Crystal Pearlcoat,6,Limited 4x4,4,1C4PJMDX6ND542925,41285,5,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Jeep,Grand Cherokee 4xe,WLXT74,Bright White Clearcoat,4,Summit 4x4,4,1C4RJYE68N8749041,74665,13,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2022,Chrysler,Pacifica,RUEH53,Bright White Clearcoat,6,Hybrid Touring L FWD,4,2C4RC1L74NR213852,51003,12,FALSE,,,Hybrid,Front Wheel Drive,CVT
NEW,2022,Jeep,Grand Cherokee 4xe,WLXP74,Bright White Clearcoat,4,4x4,4,1C4RJYB69N8759114,65950,5,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2022,Ram,1500,DT6H41,Bright White Clearcoat,6,"Big Horn 4x4 Quad Cab 6'4"" Box",4,1C6RRFBG8NN461538,54990,10,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2022,Jeep,Grand Cherokee 4xe,WLXT74,Hydro Blue Pearlcoat,4,Summit Reserve 4x4,4,1C4RJYE60N8759112,80065,0,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2022,Jeep,Grand Cherokee 4xe,WLXT74,Midnight Sky,4,Summit Reserve 4x4,4,1C4RJYE62N8759113,80065,97,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Gladiator,JTJL98,Sarge Green Clearcoat,6,Sport S 4x4,4,1C6HJTAG3PL504989,53490,13,FALSE,17,23,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2021,Ram,1500,DT6H98,Bright White Clearcoat,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,1C6SRFFT2MN579818,54530,5,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2022,Chrysler,Pacifica,RUCH53,Bright White Clearcoat,6,Touring L FWD,4,2C4RC1BG7NR196014,42133,4597,FALSE,19,28,Gasoline,Front Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Chrysler,Pacifica,RUEH53,Bright White Clearcoat,6,Hybrid Touring L FWD,4,2C4RC1L74NR173997,51003,0,FALSE,,,Hybrid,Front Wheel Drive,CVT
NEW,2022,Chrysler,Pacifica,RUEH53,Fathom Blue Pearlcoat,6,Hybrid Touring L FWD,4,2C4RC1L76NR213853,51498,5,FALSE,,,Hybrid,Front Wheel Drive,CVT
NEW,2022,Chrysler,Pacifica,RUEH53,Ceramic Gray Clearcoat,6,Hybrid Touring L FWD,4,2C4RC1L77NR216955,51498,6,FALSE,,,Hybrid,Front Wheel Drive,CVT
USED,2019,Jeep,Cherokee,KLJP74,Diamond Black Crystal Pearlcoat,6,Limited 4x4,4,1C4PJMDX6KD484486,25888,28278,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
NEW,2022,Ram,1500,DT6M98,Billet Silver Metallic Clearcoat,8,"Limited 4x4 Crew Cab 5'7"" Box",4,1C6SRFHT6NN455226,75595,381,FALSE,15,21,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2022,Jeep,Grand Cherokee 4xe,WLXT74,Midnight Sky,4,Summit Reserve 4x4,4,1C4RJYE61N8749043,75160,2173,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
